Review_Text,Rating,Sentiment,tokenized_reviews,stopwords_removed,punct_removed,lemmatized,cleaned
i have mixed feelings about my experience. ,4,1,"['i', 'have', 'mixed', 'feelings', 'about', 'my', 'experience', '.']","['mixed', 'feelings', 'experience', '.']","['mixed', 'feelings', 'experience']","['mixed', 'feeling', 'experience']",mixed feeling experience
the staff was caring and attentive. i couldn't be happier. ,5,1,"['the', 'staff', 'was', 'caring', 'and', 'attentive.', 'i', 'could', ""n't"", 'be', 'happier', '.']","['staff', 'caring', 'attentive.', 'could', ""n't"", 'happier', '.']","['staff', 'caring', 'attentive.', 'could', ""n't"", 'happier']","['staff', 'caring', 'attentive.', 'could', ""n't"", 'happier']",staff caring attentive. could n't happier
i have mixed feelings about my experience. ,5,1,"['i', 'have', 'mixed', 'feelings', 'about', 'my', 'experience', '.']","['mixed', 'feelings', 'experience', '.']","['mixed', 'feelings', 'experience']","['mixed', 'feeling', 'experience']",mixed feeling experience
i have mixed feelings about my experience. ,5,1,"['i', 'have', 'mixed', 'feelings', 'about', 'my', 'experience', '.']","['mixed', 'feelings', 'experience', '.']","['mixed', 'feelings', 'experience']","['mixed', 'feeling', 'experience']",mixed feeling experience
the healthcare provider was excellent. i had a great experience. ,3,0,"['the', 'healthcare', 'provider', 'was', 'excellent.', 'i', 'had', 'a', 'great', 'experience', '.']","['healthcare', 'provider', 'excellent.', 'great', 'experience', '.']","['healthcare', 'provider', 'excellent.', 'great', 'experience']","['healthcare', 'provider', 'excellent.', 'great', 'experience']",healthcare provider excellent. great experience
the staff was caring and attentive. i couldn't be happier. ,4,1,"['the', 'staff', 'was', 'caring', 'and', 'attentive.', 'i', 'could', ""n't"", 'be', 'happier', '.']","['staff', 'caring', 'attentive.', 'could', ""n't"", 'happier', '.']","['staff', 'caring', 'attentive.', 'could', ""n't"", 'happier']","['staff', 'caring', 'attentive.', 'could', ""n't"", 'happier']",staff caring attentive. could n't happier
i had a bad experience with this healthcare provider. avoid if possible. ,2,-1,"['i', 'had', 'a', 'bad', 'experience', 'with', 'this', 'healthcare', 'provider.', 'avoid', 'if', 'possible', '.']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible', '.']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible']","['bad', 'experience', 'healthcare', 'provider.', 'avoid', 'possible']",bad experience healthcare provider. avoid possible
i have mixed feelings about my experience. ,3,0,"['i', 'have', 'mixed', 'feelings', 'about', 'my', 'experience', '.']","['mixed', 'feelings', 'experience', '.']","['mixed', 'feelings', 'experience']","['mixed', 'feeling', 'experience']",mixed feeling experience
i have mixed feelings about my experience. ,5,1,"['i', 'have', 'mixed', 'feelings', 'about', 'my', 'experience', '.']","['mixed', 'feelings', 'experience', '.']","['mixed', 'feelings', 'experience']","['mixed', 'feeling', 'experience']",mixed feeling experience
"the service was okay, but nothing exceptional. ",1,-1,"['the', 'service', 'was', 'okay', ',', 'but', 'nothing', 'exceptional', '.']","['service', 'okay', ',', 'nothing', 'exceptional', '.']","['service', 'okay', 'nothing', 'exceptional']","['service', 'okay', 'nothing', 'exceptional']",service okay nothing exceptional
"the service was okay, but nothing exceptional. ",3,0,"['the', 'service', 'was', 'okay', ',', 'but', 'nothing', 'exceptional', '.']","['service', 'okay', ',', 'nothing', 'exceptional', '.']","['service', 'okay', 'nothing', 'exceptional']","['service', 'okay', 'nothing', 'exceptional']",service okay nothing exceptional
